district,area,year,rooms,value,floor,elevator,parking,warehouse
 نیاوران ,257,1390,3,25000000000,3,True,True,True
 دریاچه شهدای خلیج فارس ,132,1390,3,6000000000,4,True,True,True
 طرشت ,85,1392,2,4200000000,4,True,True,True
 ولنجک ,341,1400,4,76725000000,11,True,True,True
 دارآباد,145,1401,3,13000000000,5,True,True,True
 سعادت‌آباد ,110,1399,2,13750000000,1,True,True,True
 شهرک ولیعصر ,78,1383,2,2400000000,3,False,True,True
 جنت‌آباد مرکزی ,140,1400,3,11900000000,5,True,True,True
 میرداماد,138,1379,3,11900000000,6,True,True,True
 ظفر,165,1379,2,12000000000,3,True,True,True
 میرداماد,76,1397,2,8200000000,2,True,True,True
 میرداماد,147,1394,3,15200000000,5,True,True,True
 دروس ,330,1401,4,59400000000,5,True,True,True
 دروس ,255,1400,3,44500000000,6,True,True,True
 دروس ,270,1401,3,47250000000,2,True,True,True
 ازگل ,82,1399,2,9300000000,8,True,True,True
 دارآباد ,54,1393,1,3900000000,1,True,True,True
 دریاچه شهدای خلیج فارس ,100,1401,2,1750000000,11,True,True,True
 دروس ,280,1401,3,50000000000,1,True,True,True
 دروس ,320,1396,4,57000000000,5,True,True,True
 دروس ,215,1399,3,34000000000,5,True,True,True
 الهیه ,220,1386,3,24000000000,3,True,True,True
 شهرک نفت (منطقه ۱),118,1382,2,10500000000,2,False,True,True
 مبارک‌آباد بهشتی ,75,1399,2,1200000000,3,True,True,True
 کوی فردوس ,98,1385,2,5700000000,1,True,True,True
 مبارک‌آباد بهشتی ,65,1399,2,1200000000,1,True,True,True
 چیتگر ,62,1401,1,900000000,15,True,True,True
 مبارک‌آباد بهشتی ,75,1401,2,1150000000,3,True,True,True
 مبارک‌آباد بهشتی ,69,1396,1,1069500000,2,True,False,False
 پونک ,90,1401,2,8000000000,4,True,True,True
 مبارک‌آباد بهشتی ,102,1399,2,1672000000,2,True,True,True
 ولنجک ,320,1391,4,46500000000,5,True,True,True
