build_year,neighbour_hood,area,floor,rooms,Parking,Elevator,Warehouse,Luxury_features,price,mean,std,median,amin,amax,neighbour_hood_encoded
1390,سعادتآباد,80,4.0,2,1,1,1,0,9400000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1401,یوسفآباد,124,3.0,2,1,1,1,0,122984000,84176880.76646706,16991737.331853233,82853703.5,48969072.0,153846000.0,17
1398,دریاچهخلیجفارس,108,10.0,2,0,0,0,0,45370370,35829141.71910112,16200804.74731895,38532110.0,12500000.0,72784810.0,5
1394,جردن,145,3.0,3,1,1,1,1,110345000,91821517.75252526,19646827.68857334,89721875.0,48000000.0,140000000.0,18
1380,سعادتآباد,80,2.0,2,1,1,1,0,90000000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1382,نو,53,2.0,1,0,0,0,0,45849056,48702630.85714286,10619121.485267676,47836500.0,16500000.0,70652173.0,8
1383,فرشته,160,5.0,3,1,1,1,0,117500000,120952950.5831435,33940719.24992989,116700000.0,59615384.0,204500000.0,20
1380,جنتآبادجنوبی,120,1.0,3,1,0,1,0,34200000,60135130.005347595,13104643.369948454,60888000.0,843220.0,91666666.0,13
1400,شمیراننو,75,4.0,2,0,0,0,0,36666666,26635914.269230768,12878350.324446572,22321428.5,10222222.0,60000000.0,2
1384,سعادتآباد,120,5.0,2,1,1,1,0,69200000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1389,بلوارفردوسغرب,116,5.0,2,1,1,1,1,56034000,65997073.82550336,10235266.110435715,65218000.0,15104000.0,105000000.0,14
1392,اختیاریه,145,1.0,2,1,1,1,1,95200000,85898004.99168053,16435197.312221156,84200000.0,43947000.0,160000000.0,17
1385,پونک,72,5.0,2,1,1,1,0,59700000,64268619.23232323,15318423.73151411,64800000.0,6364000.0,117400000.0,13
1401,مجیدیه,105,7.0,2,0,0,0,0,47000000,49194922.375,10329292.517256249,49719101.0,13500000.0,66712328.0,9
1390,دولت,165,5.0,3,1,1,1,0,71200000,85181467.10526316,14434306.67235159,85000000.0,55400000.0,130000000.0,17
1380,شهران,57,5.0,1,0,0,0,1,54385964,60020450.6381323,12174627.440331178,59545454.0,28917647.0,138000000.0,12
1398,ولنجک,220,1.0,3,1,1,1,0,100000000,129916359.95195195,32495623.245280623,130000000.0,12500000.0,204700000.0,20
1401,نیاوران,140,3.0,3,1,1,0,0,128600000,119301128.8559322,34155648.27073372,120000000.0,21348314.0,200000000.0,20
1401,شاهین,90,6.0,2,0,0,0,0,94444444,62296666.10526316,8835506.952576779,62612612.0,46500000.0,94444444.0,13
1400,شهرکغرب,127,3.0,3,1,1,1,0,129921000,85593560.17830609,26465865.635044355,80800000.0,7500000.0,200000000.0,17
1375,پارس,85,3.0,1,0,0,0,0,47058823,49426053.23076923,25979482.52074253,46212121.0,12358490.0,202666666.0,9
1385,زعفرانیه,212,1.0,3,1,1,1,0,109900000,131865026.54357798,34972724.14783003,130000000.0,31000000.0,202900000.0,20
