adv_date,area,build_year,facilities,floor,link,price,rooms,total_price
2022-26-12,118,1401,پارکینگ/آسانسور/انباری/بالکن,2,https://www.mrestate.ir/s/oSucT,"70,338,983",2,"8,300,000,000"
2022-26-12,65,1386,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/SpJHh,"40,615,384",1,"2,640,000,000"
2022-26-12,68,1384,پارکینگ/انباری,1,https://www.mrestate.ir/s/SKdNF,"62,500,000",2,"4,250,000,000"
2022-26-12,85,1401,پارکینگ/آسانسور/انباری/بالکن/سرایداری/نگهبانی/سالن اجتماعات/لابی/استخر/سونا/جکوزی/روف گاردن/اعلام حریق/اطفا حریق/آبنما/لابی من/پارکینگ مهمان/نورپردازی/باشگاه/آلاچیق/جاروبرقی مرکزی,9,https://www.mrestate.ir/s/xmvRQ,"12,823,529",2,"1,090,000,000"
2022-26-12,124,1400,,3,https://www.mrestate.ir/s/IWiDl,"73,790,322",2,"9,150,000,000"
2022-26-12,72,1384,پارکینگ/انباری/بالکن/سرایداری/نگهبانی,1,https://www.mrestate.ir/s/wpHOr,"59,722,222",2,"4,300,000,000"
2022-26-12,87,1400,,1,https://www.mrestate.ir/s/SqhWA,"78,735,632",2,"6,850,000,000"
2022-26-12,72,1384,پارکینگ/انباری/بالکن/سرایداری/نگهبانی,1,https://www.mrestate.ir/s/vhmbL,"59,722,222",2,"4,300,000,000"
2022-26-12,118,1401,پارکینگ/آسانسور/انباری/بالکن,4,https://www.mrestate.ir/s/eYmKG,"843,220",2,"99,500,000"
2022-26-12,160,1401,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/ZcGTd,"140,000,000",3,"22,400,000,000"
2022-26-12,65,1385,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/gsNgt,"63,846,153",2,"4,150,000,000"
2022-26-12,310,1387,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/NoFBk,"88,709,677",3,"27,500,000,000"
2022-26-12,79,1383,پارکینگ/انباری,3,https://www.mrestate.ir/s/dTeRE,"78,481,012",2,"6,200,000,000"
2022-26-12,77,1396,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/NaECX,"59,740,259",2,"4,600,000,000"
2022-26-12,200,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/ieJRI,"125,000,000",3,"25,000,000,000"
2022-26-12,128,1371,پارکینگ/آسانسور,1,https://www.mrestate.ir/s/ywEgT,"55,000,000",2,"7,040,000,000"
2022-26-12,120,1400,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/CLdUC,"73,916,666",2,"8,870,000,000"
2022-26-12,90,1382,پارکینگ/انباری,2,https://www.mrestate.ir/s/bxEaV,"55,555,555",2,"5,000,000,000"
2022-26-12,185,1397,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/HPmNE,"124,324,324",3,"23,000,000,000"
2022-26-12,108,1395,پارکینگ/آسانسور/انباری,7,https://www.mrestate.ir/s/atLho,"60,185,185",2,"6,500,000,000"
2022-26-12,64,1380,,4,https://www.mrestate.ir/s/trfzu,"32,812,500",2,"2,100,000,000"
2022-26-12,143,1399,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/EahBK,"80,419,580",3,"11,500,000,000"
2022-26-12,95,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/TviIP,"78,947,368",2,"7,500,000,000"
2022-26-12,150,1386,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/buRNC,"76,666,666",3,"11,500,000,000"
2022-26-12,185,1401,پارکینگ/آسانسور/انباری/بالکن/سرایداری/سالن اجتماعات/لابی/اعلام حریق/اطفا حریق/نورپردازی,12,https://www.mrestate.ir/s/sHPqq,"62,000,000",4,"11,470,000,000"
2022-26-12,100,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/pTbFf,"90,000,000",2,"9,000,000,000"
2022-26-12,100,1390,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/MHsdY,"112,000,000",2,"11,200,000,000"
2022-26-12,53,1392,پارکینگ/انباری,2,https://www.mrestate.ir/s/PFFYd,"22,264,150",1,"1,180,000,000"
2022-26-12,110,1386,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/zAhvE,"55,454,545",2,"6,100,000,000"
2022-26-12,100,1401,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/GQMww,"67,000,000",2,"6,700,000,000"
2022-26-12,61,1383,پارکینگ/انباری,1,https://www.mrestate.ir/s/VHtCX,"59,836,065",2,"3,650,000,000"
2022-26-12,101,1384,پارکینگ/انباری,1,https://www.mrestate.ir/s/hafMj,"58,415,841",2,"5,900,000,000"
2022-26-12,146,از,پارکینگ/آسانسور/انباری/بالکن/سرایداری/نگهبانی/پارکینگ مهمان,1,https://www.mrestate.ir/s/CkkwP,"64,383,561",3,"9,400,000,000"
2022-26-12,85,1400,آسانسور,5,https://www.mrestate.ir/s/rBJlE,"47,058,823",2,"4,000,000,000"
2022-26-12,100,1387,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/GsEgi,"60,000,000",3,"6,000,000,000"
2022-26-12,120,1394,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/VjyGP,"75,000,000",2,"9,000,000,000"
2022-26-12,250,1399,پارکینگ/آسانسور/انباری,9,https://www.mrestate.ir/s/RyypY,"170,000,000",3,"42,500,000,000"
2022-26-12,60,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/qWOaC,"67,333,333",1,"4,040,000,000"
2022-26-12,200,1401,پارکینگ/آسانسور/انباری,6,https://www.mrestate.ir/s/mutcM,"117,500,000",3,"23,500,000,000"
2022-26-12,54,1393,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/LVbQo,"75,925,925",1,"4,100,000,000"
2022-26-12,200,1383,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/abcqg,"79,000,000",4,"15,800,000,000"
2022-26-12,125,1398,پارکینگ/آسانسور/انباری/بالکن/سرایداری/نگهبانی/سالن اجتماعات/سونا/جکوزی/روف گاردن/اعلام حریق/اطفا حریق/آبنما/لابی من/پارکینگ مهمان/نورپردازی/باشگاه/آلاچیق/جاروبرقی مرکزی,3,https://www.mrestate.ir/s/kyAev,"125,040,000",2,"15,630,000,000"
2022-26-12,410,1401,پارکینگ/آسانسور/انباری/بالکن/سرایداری/نگهبانی/سالن اجتماعات/استخر/سونا/جکوزی/روف گاردن/اعلام حریق/اطفا حریق/آبنما/لابی من/پارکینگ مهمان/نورپردازی/باشگاه,1,https://www.mrestate.ir/s/ZHuAI,"248,780,487",4,"102,000,000,000"
2022-26-12,110,1401,پارکینگ/آسانسور/انباری/بالکن/سرایداری/نگهبانی/سالن اجتماعات/لابی/استخر/سونا/جکوزی/روف گاردن/اعلام حریق/اطفا حریق/آبنما/لابی من/پارکینگ مهمان/نورپردازی/باشگاه/آلاچیق/جاروبرقی مرکزی,10,https://www.mrestate.ir/s/sxnNz,"12,818,181",2,"1,410,000,000"
2022-26-12,92,1398,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/drwyB,"61,956,521",2,"5,700,000,000"
2022-26-12,53,1395,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/ImQfd,"70,754,716",1,"3,750,000,000"
2022-26-12,117,1401,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/zlvCU,"61,538,461",2,"7,200,000,000"
2022-26-12,115,1380,پارکینگ/انباری,4,https://www.mrestate.ir/s/cJpAL,"51,304,347",3,"5,900,000,000"
2022-26-12,110,1387,پارکینگ/انباری,2,https://www.mrestate.ir/s/aBiks,"44,545,454",3,"4,900,000,000"
2022-26-12,90,1382,پارکینگ/انباری,2,https://www.mrestate.ir/s/gLjJB,"49,444,444",2,"4,450,000,000"
2022-26-12,265,1380,پارکینگ/انباری,1,https://www.mrestate.ir/s/xKQvD,"113,207,547",3,"30,000,000,000"
2022-26-12,65,1384,پارکینگ,4,https://www.mrestate.ir/s/Uvrim,"53,846,153",2,"3,500,000,000"
2022-26-12,62,1382,پارکینگ/انباری,2,https://www.mrestate.ir/s/vamAF,"58,064,516",2,"3,600,000,000"
2022-26-12,210,1390,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/rQKDM,"170,000,000",3,"35,700,000,000"
2022-26-12,70,1386,پارکینگ/انباری,4,https://www.mrestate.ir/s/fKamX,"41,428,571",2,"2,900,000,000"
2022-26-12,400,1401,پارکینگ/آسانسور/انباری,10,https://www.mrestate.ir/s/DUlUy,"300,000,000",4,"120,000,000,000"
2022-26-12,130,1388,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/bMOji,"84,615,384",3,"11,000,000,000"
2022-26-12,280,1400,پارکینگ/آسانسور/انباری,6,https://www.mrestate.ir/s/ItHRl,"235,000,000",3,"65,800,000,000"
2022-26-12,128,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/xiNfH,"84,000,000",2,"10,752,000,000"
2022-26-12,120,1396,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/Acnkb,"70,833,333",3,"8,500,000,000"
2022-26-12,71,1385,پارکینگ/آسانسور,2,https://www.mrestate.ir/s/orAzp,"76,056,338",2,"5,400,000,000"
2022-26-12,98,1394,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/duAEx,"65,816,326",2,"6,450,000,000"
2022-26-12,120,1387,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/GTeyb,"57,916,666",2,"6,950,000,000"
2022-26-12,150,1397,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/SCfju,"66,666,666",3,"10,000,000,000"
2022-26-12,130,1394,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/Akrba,"76,923,076",2,"10,000,000,000"
2022-26-12,75,1391,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/ZQkAx,"50,666,666",2,"3,800,000,000"
2022-26-12,80,1389,انباری,2,https://www.mrestate.ir/s/IMuNN,"41,250,000",2,"3,300,000,000"
2022-26-12,122,1401,پارکینگ/آسانسور/انباری/بالکن,2,https://www.mrestate.ir/s/Iupdh,"72,131,147",3,"8,800,000,000"
2022-26-12,75,1385,پارکینگ/انباری,1,https://www.mrestate.ir/s/nFGVL,"65,333,333",2,"4,900,000,000"
2022-26-12,145,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/hsXMG,"174,482,758",3,"25,300,000,000"
2022-26-12,98,1384,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/xlwMd,"60,714,285",3,"5,950,000,000"
2022-26-12,74,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/LWFJG,"72,027,027",2,"5,330,000,000"
2022-26-12,93,1395,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/sCEmC,"69,892,473",2,"6,500,000,000"
2022-26-12,73,1381,پارکینگ/انباری,3,https://www.mrestate.ir/s/QKUul,"55,479,452",2,"4,050,000,000"
2022-26-12,106,1396,پارکینگ/آسانسور/انباری,6,https://www.mrestate.ir/s/WYWFc,"73,584,905",2,"7,800,000,000"
2022-26-12,140,1394,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/RwTcU,"78,571,428",3,"11,000,000,000"
2022-26-12,110,1401,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/sxEZd,"70,909,090",2,"7,800,000,000"
2022-26-12,250,1401,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/rBJQc,"145,000,000",3,"36,250,000,000"
2022-26-12,530,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/jZFet,"203,773,584",4,"108,000,000,000"
2022-26-12,71,1390,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/Qykpb,"57,746,478",1,"4,100,000,000"
2022-26-12,194,1401,پارکینگ/آسانسور/انباری,7,https://www.mrestate.ir/s/ZWJvB,"74,484,536",3,"14,450,000,000"
2022-26-12,55,1395,,3,https://www.mrestate.ir/s/zJqKM,"33,000,000",1,"1,815,000,000"
2022-26-12,116,1388,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/UQhGI,"68,189,655",3,"7,910,000,000"
2022-26-12,64,1395,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/BGzua,"85,937,500",1,"5,500,000,000"
2022-26-12,135,1380,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/MUGHE,"88,888,888",2,"12,000,000,000"
2022-26-12,143,1375,پارکینگ/انباری,1,https://www.mrestate.ir/s/JOePY,"78,321,678",3,"11,200,000,000"
2022-26-12,65,1373,انباری,2,https://www.mrestate.ir/s/kGCHv,"43,846,153",2,"2,850,000,000"
2022-26-12,105,1401,پارکینگ/آسانسور,4,https://www.mrestate.ir/s/dffjP,"68,000,000",2,"7,140,000,000"
2022-26-12,111,1391,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/huJyF,"63,513,513",2,"7,050,000,000"
2022-26-12,205,1381,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/tWXGJ,"78,048,780",3,"16,000,000,000"
2022-26-12,58,1387,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/uIYhH,"36,206,896",1,"2,100,000,000"
2022-26-12,130,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/WXkOe,"61,538,461",3,"8,000,000,000"
2022-26-12,125,1395,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/Uggge,"62,000,000",3,"7,750,000,000"
2022-26-12,120,1397,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/BzYSP,"69,583,333",2,"8,350,000,000"
2022-26-12,80,1395,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/FfhQN,"68,125,000",2,"5,450,000,000"
2022-26-12,70,1389,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/EehVv,"52,857,142",2,"3,700,000,000"
2022-26-12,61,1394,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/Qvhhf,"75,409,836",1,"4,600,000,000"
2022-26-12,68,1384,پارکینگ/انباری,1,https://www.mrestate.ir/s/Rlfhy,"48,529,411",2,"3,300,000,000"
2022-26-12,282,1381,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/FJczU,"109,929,078",3,"31,000,000,000"
2022-26-12,125,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/NuzxR,"65,000,000",3,"8,125,000,000"
2022-26-12,54,1393,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/qPFRB,"73,148,148",1,"3,950,000,000"
2022-26-12,270,1400,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/TZVQt,"185,185,185",4,"50,000,000,000"
2022-26-12,62,1395,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/Jnxhv,"51,290,322",1,"3,180,000,000"
2022-26-12,120,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/PYKXk,"195,000,000",2,"23,400,000,000"
2022-26-12,135,1394,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/uzecw,"89,711,934",2,"12,111,111,111"
2022-26-12,62,1398,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/KbaIq,"62,903,225",1,"3,900,000,000"
2022-26-12,55,1394,,1,https://www.mrestate.ir/s/INDZS,"42,181,818",1,"2,320,000,000"
2022-26-12,74,1389,پارکینگ/آسانسور,1,https://www.mrestate.ir/s/NslGU,"81,081,081",2,"6,000,000,000"
2022-26-12,180,1383,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/icfWm,"78,000,000",3,"14,040,000,000"
2022-26-12,96,1381,پارکینگ/انباری,2,https://www.mrestate.ir/s/cNkal,"82,187,500",2,"7,890,000,000"
2022-26-12,112,1396,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/TNfxl,"62,053,571",2,"6,950,000,000"
2022-26-12,105,1401,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/Jesia,"51,047,619",2,"5,360,000,000"
2022-26-12,113,1375,پارکینگ/انباری,3,https://www.mrestate.ir/s/KWXOJ,"30,088,495",2,"3,400,000,000"
2022-26-12,50,1385,انباری,1,https://www.mrestate.ir/s/lVvNP,"52,000,000",1,"2,600,000,000"
2022-26-12,220,1377,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/CnKRF,"72,000,000",3,"15,840,000,000"
2022-26-12,195,1383,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/pqJKM,"90,256,410",4,"17,600,000,000"
2022-26-12,45,1399,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/jHucf,"69,555,555",1,"3,130,000,000"
2022-26-12,87,1384,پارکینگ/انباری,3,https://www.mrestate.ir/s/ENwFW,"47,126,436",2,"4,100,000,000"
2022-26-12,133,1390,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/PBDCE,"59,022,556",3,"7,850,000,000"
2022-26-12,54,1385,پارکینگ/انباری,1,https://www.mrestate.ir/s/QEEuj,"62,962,962",2,"3,400,000,000"
2022-26-12,75,1384,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/AnKeB,"56,000,000",2,"4,200,000,000"
2022-26-12,80,1395,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/xiPyE,"56,875,000",2,"4,550,000,000"
2022-26-12,60,1390,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/LqeZf,"60,000,000",1,"3,600,000,000"
2022-26-12,80,1392,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/OLhzQ,"65,000,000",2,"5,200,000,000"
2022-26-12,750,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/tpSTa,"76,000,000",3,"57,000,000,000"
2022-26-12,76,1391,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/lneJi,"57,894,736",1,"4,400,000,000"
2022-26-12,140,1371,پارکینگ/آسانسور/انباری,1,https://www.mrestate.ir/s/blKRp,"50,000,000",3,"7,000,000,000"
2022-26-12,86,1399,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/AkNKo,"100,000,000",2,"8,600,000,000"
2022-26-12,63,1394,آسانسور,4,https://www.mrestate.ir/s/vLgdN,"33,333,333",1,"2,100,000,000"
2022-26-12,90,1388,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/CzPzm,"72,222,222",2,"6,500,000,000"
2022-26-12,270,1385,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/pxJTe,"111,111,111",4,"30,000,000,000"
2022-26-12,75,1388,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/Oxapr,"90,666,666",2,"6,800,000,000"
2022-26-12,105,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/amiUC,"71,904,761",2,"7,550,000,000"
2022-26-12,130,1398,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/niljX,"93,076,923",3,"12,100,000,000"
2022-26-12,75,1387,پارکینگ/انباری,1,https://www.mrestate.ir/s/YkBtp,"57,333,333",2,"4,300,000,000"
2022-26-12,72,1385,پارکینگ/انباری,3,https://www.mrestate.ir/s/xFSMA,"50,694,444",2,"3,650,000,000"
2022-26-12,62,1401,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/ZXTLX,"75,806,451",1,"4,700,000,000"
2022-26-12,122,1381,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/xDvPZ,"55,737,704",2,"6,800,000,000"
2022-26-12,100,1386,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/KOKgC,"110,000,000",2,"11,000,000,000"
2022-26-12,71,1382,پارکینگ/انباری,1,https://www.mrestate.ir/s/izjyF,"59,014,084",2,"4,190,000,000"
2022-26-12,48,1387,انباری,2,https://www.mrestate.ir/s/VeWRC,"20,833,333",1,"1,000,000,000"
2022-26-12,60,1385,پارکینگ,1,https://www.mrestate.ir/s/wgRGK,"65,833,333",1,"3,950,000,000"
2022-26-12,88,1388,پارکینگ/آسانسور/انباری,3,https://www.mrestate.ir/s/vjJse,"96,590,909",2,"8,500,000,000"
2022-26-12,110,1397,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/ozsQc,"104,545,454",2,"11,500,000,000"
2022-26-12,135,1399,پارکینگ/آسانسور/انباری,6,https://www.mrestate.ir/s/qlgRU,"90,370,370",3,"12,200,000,000"
2022-26-12,110,1401,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/evWVw,"13,500,000",2,"1,485,000,000"
2022-26-12,133,1395,پارکینگ/آسانسور/انباری,6,https://www.mrestate.ir/s/hfEVG,"59,887,218",3,"7,965,000,000"
2022-26-12,128,1395,پارکینگ/آسانسور/انباری,4,https://www.mrestate.ir/s/NHmuj,"109,375,000",3,"14,000,000,000"
2022-26-12,145,1386,پارکینگ/آسانسور/انباری,5,https://www.mrestate.ir/s/YNmyc,"49,655,172",3,"7,200,000,000"
2022-26-12,115,1395,پارکینگ/آسانسور/انباری,2,https://www.mrestate.ir/s/nldxC,"89,565,217",2,"10,300,000,000"
